name, title, outlet, link
text1, Ark Invest CEO Cathie Wood flags AI market correction risk: ‘We think there will be a reality check’, CNBC, https://www.cnbc.com/2025/10/28/cathie-wood-flags-market-correction-risk-but-rejects-ai-bubble-fears.html
text2, "Microsoft, Alphabet and Meta results overshadowed by growing fears of AI bubble", SkyNews, https://news.sky.com/story/microsoft-alphabet-and-meta-results-overshadowed-by-growing-fears-of-ai-bubble-13460474
text3, 'It's going to be really bad': Fears over AI bubble bursting grow in Silicon Valley, BBC, https://www.bbc.com/news/articles/cz69qy760weo
text4, What we mean when we talk about an artificial intelligence ‘bubble’, World Economic Forum, https://www.weforum.org/stories/2025/10/artificial-intelligence-bubble-dot-com-tulip-mania/
text5, Is the AI Revolution Built on Genius or on Gimmicks?, Convergence Now, https://convergence-now.com/explainers/ai-bubble-or-boom-truth-behind-hype/
text6, Worried about an AI bubble? Here’s what to do with your money now, San Francisco Chronicle, https://www.sfchronicle.com/personal-finance/article/ai-bubble-portfolio-tips-21110669.php
text7, Trader who inspired The Big Short bets against AI as tech shares fall, BBC, https://www.bbc.com/news/articles/c867vyn2evlo
text8, "75% of gains, 80% of profits, 90% of capex—AI’s grip on the S&P is total and Morgan Stanley’s top analyst is ‘very concerned’", Fortune, https://fortune.com/2025/10/07/ai-bubble-cisco-moment-dotcom-crash-nvidia-jensen-huang-top-analyst/
text9, AI bubble to deflate as enterprises defer spending to 2027, The Register, https://www.theregister.com/2025/10/28/forrester_ai_spending/
text10, Why this analyst says the AI bubble is 17 times bigger than the dot-com bust, CNN, https://edition.cnn.com/2025/10/18/business/ai-bubble-analyst-nightcap